feature,pred_0,pred_1
FSGRINC,0.0,-0.0
FSWAGES,-0.01,0.01
FSERNDE2,-0.01,0.01
FSSTDDE2,0.05,-0.05
FSTOTDE2,0.0,-0.0
FSERNDED,-0.01,0.01
WRK_POOR,-0.01,0.01
FSSLTDED,0.11,-0.11
HWGT,0.04,-0.04
FSASSET,-0.02,0.02
FSEARN,-0.01,0.01
REALPROP,0.0,0.0
CERTHHSZ,0.05,-0.05
RAWERND,-0.02,0.02
FSDIS,0.0,-0.0
FSUSIZE,0.02,-0.02
FSSSI,0.01,-0.01
RAWNET,-0.0,0.0
LIQRESOR,-0.03,0.03
FSNELDER,0.0,-0.0
TANF_IND,0.02,-0.02
FSTANF,0.02,-0.02
FSUNEARN,0.04,-0.04
TPOV,-0.02,0.02
SHELDED,0.1,-0.1
FSGA,0.0,-0.0
FSNETINC,-0.01,0.01
FSTOTDED,-0.02,0.02
FSSLTDE2,-0.01,0.01
FSNONCIT,0.0,-0.0
VEHICLEA,-0.01,0.01
FSVEHAST,0.0,0.0
