state,SHELDED,FSSLTDED,HWGT,FSSTDDE2,FSTOTDED,FSTANF,FSASSET,FSUNEARN,FSUSIZE,TANF_IND,CERTHHSZ,FSSSI,FSNONCIT,TPOV,RAWNET
Connecticut,584,584,3575,240,744,0,0,920,1,0,1,0,0,92,176
Connecticut,968,969,3704,240,1171,0,0,1197,1,0,1,0,0,140,239
Connecticut,969,969,3521,240,1129,0,0,1278,1,0,1,0,0,127,149
Connecticut,0,0,3216,0,160,0,0,0,1,0,1,0,0,0,0
Connecticut,802,802,3527,240,962,0,0,1113,1,0,1,735,0,111,151
Connecticut,728,546,4416,240,1049,0,0,0,1,0,1,0,0,171,535
Connecticut,535,535,2763,24,2299,0,0,860,3,0,3,0,0,127,724
Connecticut,576,576,3778,240,736,0,0,1011,1,0,1,0,0,101,276
Connecticut,1054,1054,3216,0,1214,0,0,909,1,0,1,151,0,90,0
Connecticut,0,0,2763,26,160,0,0,26,3,0,3,0,0,2,0
Connecticut,966,966,3541,240,1172,0,0,1331,1,0,1,0,0,132,159
Connecticut,696,696,4022,240,856,0,0,1250,1,0,1,0,0,124,395
Connecticut,535,535,2962,44,695,0,0,515,2,0,2,0,0,38,0
Connecticut,535,535,3466,160,899,0,0,0,1,0,1,0,0,102,122
Connecticut,535,535,2962,0,695,0,0,200,2,0,2,0,0,15,0
Connecticut,517,535,3216,115,695,0,0,650,1,0,1,0,0,65,0
Connecticut,1341,1341,3216,0,1501,0,0,1245,1,0,1,490,0,124,0
Connecticut,535,535,4294,266,843,0,0,1332,6,0,6,0,0,63,890
Connecticut,335,335,3770,255,765,0,0,0,4,0,4,0,0,64,537
Connecticut,535,535,4589,160,1068,0,0,0,2,0,2,0,0,138,799
Connecticut,0,0,4389,160,160,0,0,735,1,0,1,735,0,73,575
Connecticut,535,535,3805,160,940,0,0,0,1,0,1,0,0,122,288
Connecticut,535,535,3216,0,808,0,0,0,1,0,1,0,0,57,0
Connecticut,831,831,3216,3,991,0,0,754,1,0,1,0,0,75,0
